step=475 time=0.368754s cnt=17661 avg=20.879565
step=476 time=0.331312s cnt=17624 avg=18.798911
step=477 time=0.346012s cnt=17587 avg=19.674305
step=478 time=0.344348s cnt=17550 avg=19.620969
step=479 time=0.341755s cnt=17513 avg=19.514361
step=480 time=0.357042s cnt=17477 avg=20.429250
step=481 time=0.341014s cnt=17440 avg=19.553555
step=482 time=0.339283s cnt=17404 avg=19.494541
step=483 time=0.350258s cnt=17368 avg=20.166859
step=484 time=0.327473s cnt=17332 avg=18.894126
step=485 time=0.336733s cnt=17297 avg=19.467711
step=486 time=0.350054s cnt=17261 avg=20.280053
step=487 time=0.341295s cnt=17226 avg=19.812783
step=488 time=0.338467s cnt=17190 avg=19.689761
step=489 time=0.344532s cnt=17155 avg=20.083474
step=490 time=0.333042s cnt=17120 avg=19.453388
step=491 time=0.334163s cnt=17085 avg=19.558853
step=492 time=0.330316s cnt=17051 avg=19.372236
step=493 time=0.3319365s cnt=17016 avg=195.073166
step=494 time=0.329362s cnt=16981 avg=19.395913
step=495 time=0.327037s cnt=16947 avg=19.297634
step=496 time=0.331878s cnt=16913 avg=19.622657
step=497 time=0.326063s cnt=16879 avg=19.317673
step=498 time=0.337099s cnt=16845 avg=20.011814
step=499 time=0.319513s cnt=16811 avg=19.006186
step=500 time=0.309934s cnt=16778 avg=18.472643
step=501 time=0.325372s cnt=16744 avg=19.432155
step=502 time=0.320930s cnt=16711 avg=19.204715
step=503 time=0.311753s cnt=16678 avg=18.692469
step=504 time=0.309758s cnt=16645 avg=18.609673
step=505 time=0.312473s cnt=16612 avg=18.810077
step=506 time=0.348150s cnt=16579 avg=20.999457
step=507 time=0.311966s cnt=16546 avg=18.854466
step=508 time=0.305733s cnt=16514 avg=18.513564
step=509 time=0.315261s cnt=16481 avg=19.128754
step=510 time=0.303699s cnt=16449 avg=18.463068
step=511 time=0.325452s cnt=16417 avg=19.824085
step=512 time=0.323046s cnt=16384 avg=19.717163
